time,type,traffic_flow
53.2,TCP,88236
53.3,TCP,89784
53.4,TCP,88928
53.5,TCP,63948
53.6,TCP,71328
53.7,TCP,74304
53.8,TCP,79022
53.8,UDP,626
53.9,TCP,81187
53.9,UDP,47
54.0,TCP,85883
54.0,UDP,50
54.1,TCP,83772
54.2,TCP,87371
54.3,TCP,90834
54.4,TCP,88236
54.5,TCP,78593
54.5,UDP,626
54.6,TCP,5550
54.7,TCP,84764
54.8,TCP,92054
54.9,TCP,69414
55.0,TCP,71299
55.1,TCP,64931
55.2,TCP,72994
55.3,TCP,70441
55.4,TCP,71244
55.5,TCP,71514
55.6,TCP,73008
55.7,TCP,76008
55.7,UDP,1228
55.8,TCP,98674
55.9,TCP,76686
55.9,UDP,47
56.0,TCP,70214
56.0,UDP,50
56.1,TCP,47149
56.2,TCP,41529
56.3,TCP,86154
56.4,TCP,82466
56.5,TCP,113184
56.6,TCP,43467
56.7,TCP,86836
56.8,TCP,95824
56.9,TCP,63238
57.0,TCP,55718
57.1,TCP,72897
57.2,TCP,93522
57.3,TCP,93170
57.4,TCP,91226
57.5,TCP,89408
57.6,TCP,86648
57.7,TCP,100318
57.8,TCP,103970
57.9,TCP,91135
57.9,UDP,47
58.0,TCP,100598
58.1,TCP,92916
58.1,UDP,50
58.2,TCP,112138
58.3,TCP,93152
58.4,TCP,92730
58.5,TCP,89546
58.6,TCP,81960
58.7,TCP,88170
58.8,TCP,91068
58.9,TCP,91188
59.0,TCP,92679
59.1,TCP,87750
59.2,TCP,89772
59.3,TCP,90498
59.4,TCP,86706
59.5,TCP,84593
59.6,TCP,87899
59.7,TCP,82602
59.8,TCP,86084
59.9,TCP,83604
59.9,UDP,47
60.0,TCP,67050
60.0,UDP,50
60.1,TCP,92968
60.2,TCP,60384
60.3,TCP,60200
60.3,UDP,626
60.4,TCP,62898
60.5,TCP,58908
60.6,TCP,51767
60.7,TCP,63656
60.8,TCP,53446
60.9,TCP,60102
61.0,TCP,59765
61.1,TCP,63807
61.2,TCP,55782
61.3,TCP,63882
61.4,TCP,63948
61.5,TCP,33475
61.6,TCP,24228
61.7,TCP,24228
61.8,TCP,24336
61.9,TCP,25776
61.9,UDP,47
62.0,TCP,27324
62.0,UDP,50
62.1,TCP,27270
62.2,TCP,28710
62.3,TCP,28818
62.4,TCP,31698
62.5,TCP,33300
62.6,TCP,34956
62.7,TCP,37836
62.8,TCP,39330
62.9,TCP,40770
63.0,TCP,41278
63.1,TCP,43866
63.2,TCP,45360
63.3,TCP,48306
63.4,TCP,50082
63.5,TCP,56095
63.6,TCP,56152
63.7,TCP,60319
63.8,TCP,62341
63.8,UDP,595
63.9,TCP,64249
63.9,UDP,97
64.0,TCP,71049
64.1,TCP,72917
64.2,TCP,77588
64.3,TCP,71102
64.3,UDP,631
64.4,TCP,84150
64.5,TCP,69372
64.6,TCP,81270
64.7,TCP,79716
64.8,TCP,72156
64.9,TCP,79788
65.0,TCP,72982
65.1,TCP,38071
65.2,TCP,42372
65.3,TCP,40844
65.4,TCP,53046
65.5,TCP,42863
65.6,TCP,61848
65.7,TCP,32104
65.8,TCP,19928
65.8,UDP,626
65.9,TCP,20491
65.9,UDP,47
66.0,TCP,23693
66.0,UDP,50
66.1,TCP,19980
66.2,TCP,21977
66.3,TCP,23388
66.4,TCP,22787
66.5,TCP,21348
66.6,TCP,22842
66.7,TCP,23359
66.8,TCP,22842
66.9,TCP,22842
67.0,TCP,24961
67.1,TCP,24336
67.2,TCP,24729
67.3,TCP,24336
67.4,TCP,25830
67.5,TCP,25884
67.6,TCP,26455
67.7,TCP,25884
67.8,TCP,27432
67.9,TCP,27378
67.9,UDP,47
68.0,TCP,27378
68.0,UDP,50
68.1,TCP,26892
68.2,TCP,27864
68.3,TCP,28548
68.4,TCP,28764
68.5,TCP,28926
68.6,TCP,28926
68.7,TCP,30420
68.7,UDP,613
68.8,TCP,30560
68.9,TCP,5248
69.0,TCP,409
69.1,TCP,54
69.6,TCP,188
69.7,TCP,599
69.8,TCP,108
69.9,UDP,47
70.0,UDP,50
70.1,TCP,549
70.6,TCP,955
70.7,TCP,54
70.7,UDP,162
70.8,TCP,468
70.8,UDP,685
70.9,TCP,6349
70.9,UDP,1848
71.0,UDP,612
71.2,UDP,1438
71.4,TCP,640
71.4,UDP,2200
71.5,TCP,691
71.5,UDP,173
71.6,TCP,3839
71.6,UDP,453
71.7,TCP,180
71.7,UDP,558
71.8,TCP,683
71.8,UDP,263
71.9,TCP,2617
71.9,UDP,47
72.0,TCP,876
72.0,UDP,676
72.1,TCP,745
72.2,TCP,3839
72.3,TCP,180
72.4,TCP,683
72.5,TCP,1947
72.6,TCP,991
72.7,TCP,247
73.0,TCP,975
73.0,UDP,83
73.1,TCP,162
73.2,UDP,229
73.3,TCP,164
73.3,UDP,172
73.4,TCP,511
73.5,TCP,108
73.7,UDP,86
73.8,TCP,814
73.8,UDP,85
73.9,TCP,575
73.9,UDP,47
74.0,UDP,50
74.5,TCP,372
74.6,TCP,54
74.8,UDP,209
74.9,UDP,416
75.0,UDP,807
75.1,UDP,779
75.2,UDP,590
75.3,UDP,731
75.4,UDP,547
75.5,UDP,254
75.8,TCP,1745
75.9,TCP,576
75.9,UDP,47
76.0,UDP,50
76.1,TCP,54
76.3,TCP,376
76.6,TCP,156
76.7,TCP,185
76.7,UDP,254
77.2,TCP,1144
77.3,TCP,162
77.7,TCP,140
77.7,UDP,626
77.8,TCP,679
77.9,TCP,3773
77.9,UDP,47
78.0,TCP,180
78.0,UDP,50
78.1,TCP,683
78.2,TCP,1672
78.3,TCP,802
78.4,TCP,54
79.3,UDP,114
79.4,UDP,774
79.5,UDP,429
79.6,UDP,880
79.7,UDP,620
79.8,UDP,793
79.9,UDP,644
80.0,UDP,837
80.1,UDP,423
80.2,UDP,794
80.3,TCP,426
80.3,UDP,567
80.4,TCP,13788
80.4,UDP,815
80.5,TCP,20542
80.5,UDP,654
80.6,TCP,385
80.6,UDP,1076
80.7,TCP,243
80.7,UDP,1074
80.8,TCP,436
80.8,UDP,1353
80.9,TCP,346
80.9,UDP,2639
81.0,TCP,162
81.0,UDP,1355
81.1,TCP,248
81.1,UDP,549
81.2,TCP,314
81.2,UDP,1542
81.3,TCP,302
81.3,UDP,2661
81.4,TCP,601
81.4,UDP,974
81.5,TCP,356
81.5,UDP,630
81.6,TCP,314
81.6,UDP,435
81.7,TCP,302
81.7,UDP,2024
81.8,TCP,314
81.8,UDP,846
81.9,TCP,302
81.9,UDP,856
82.0,TCP,368
82.0,UDP,551
82.1,TCP,182
82.1,UDP,1782
82.2,TCP,326
82.2,UDP,751
82.3,TCP,236
82.3,UDP,810
82.4,TCP,326
82.4,UDP,457
