time,type,traffic_flow
59.8,UDP,106640
59.9,UDP,21892
60.0,UDP,65972
60.1,UDP,737443
60.2,TCP,108
60.2,UDP,652033
60.3,UDP,589360
60.4,UDP,210777
60.5,UDP,50643
60.6,UDP,59121
60.7,UDP,848449
60.8,UDP,746092
60.9,UDP,467335
61.0,UDP,184513
61.1,UDP,926
61.7,UDP,111
61.9,TCP,54
61.9,UDP,2441
62.0,TCP,54
62.0,UDP,865
62.1,UDP,109
62.2,UDP,529
62.3,UDP,1630
62.4,UDP,448
62.5,UDP,358
62.6,UDP,77161
62.7,UDP,686320
62.8,UDP,783705
62.9,UDP,929910
63.0,UDP,892852
63.1,UDP,689263
63.2,UDP,262617
63.3,UDP,223257
63.4,UDP,73752
63.5,UDP,33489
63.6,UDP,650
63.9,UDP,2666
64.0,UDP,298385
64.1,UDP,902843
64.2,UDP,902871
64.3,UDP,898517
64.4,UDP,798013
64.5,UDP,456603
64.6,UDP,24791
64.7,UDP,8055
64.8,UDP,59340
64.9,TCP,5222
64.9,UDP,38347
65.0,TCP,216
65.0,UDP,534
65.1,UDP,28588
65.2,TCP,236
65.3,TCP,2172
65.4,UDP,28239
65.5,UDP,3050
65.6,UDP,29775
65.7,UDP,913919
65.8,UDP,894229
65.9,UDP,353860
66.0,UDP,54981
66.1,UDP,41100
66.2,UDP,331556
66.3,UDP,987222
66.4,UDP,793086
66.5,UDP,4095
66.6,UDP,19258
66.7,UDP,49912
66.9,UDP,2211
67.0,UDP,336
67.2,UDP,107816
67.3,UDP,55196
67.4,UDP,7574
67.5,UDP,3038
67.6,UDP,4653
67.7,UDP,114
67.9,UDP,11525
68.0,UDP,1018
68.2,UDP,111
68.3,UDP,1492
68.4,UDP,310
68.5,UDP,189
68.9,UDP,4365
69.0,UDP,2063
69.1,UDP,494
69.2,UDP,350
69.4,UDP,4342
69.5,TCP,645
69.5,UDP,73504
69.6,TCP,381
69.6,UDP,42
69.7,TCP,229
69.9,TCP,3142
69.9,UDP,2491
70.0,TCP,108
70.1,UDP,111
70.8,UDP,111
71.0,UDP,111
71.1,UDP,66
72.1,UDP,111
72.6,UDP,177
73.1,TCP,54
73.2,TCP,54
73.2,UDP,463
73.3,UDP,138
73.4,UDP,286
73.5,TCP,247
74.0,UDP,7733
74.1,UDP,66
74.3,TCP,14984
74.3,UDP,14027
74.4,TCP,9553
74.4,UDP,224571
74.5,TCP,1017
74.5,UDP,717326
74.6,TCP,2730
74.6,UDP,671677
74.7,TCP,108
74.7,UDP,748272
74.8,UDP,798040
74.9,UDP,810213
75.0,UDP,386741
75.1,UDP,67167
75.2,UDP,65026
75.3,TCP,108
75.3,UDP,17754
75.4,UDP,14821
75.7,UDP,6961
75.8,UDP,11725
75.9,UDP,1217
76.2,UDP,175
76.5,UDP,3603
76.6,UDP,14967
76.8,UDP,1472
77.0,UDP,1072
77.1,UDP,1442
77.2,UDP,328365
77.3,UDP,741427
77.4,UDP,676845
77.5,UDP,370104
77.6,UDP,33394
77.8,UDP,7696
77.9,UDP,10264
78.0,UDP,7352
78.1,UDP,174
78.2,UDP,775
78.3,UDP,103
78.4,UDP,509
78.5,UDP,65674
78.6,UDP,177
78.7,UDP,1716
78.8,UDP,85
79.0,UDP,194
79.1,UDP,928
79.2,UDP,973
79.3,UDP,109
79.4,TCP,186
79.4,UDP,735
79.5,TCP,54
79.5,UDP,532
79.6,UDP,6911
79.7,UDP,69661
79.8,UDP,66
79.9,UDP,566
80.0,UDP,111
80.1,UDP,358
80.2,UDP,418
80.3,UDP,527
80.4,UDP,3314
80.5,UDP,66999
80.6,UDP,641845
80.7,UDP,814416
80.8,UDP,809700
80.9,UDP,11146
81.0,UDP,7215
81.1,UDP,24580
81.2,UDP,1107
81.3,UDP,175
81.8,UDP,5421
81.9,UDP,1946
82.0,UDP,496
82.2,UDP,109
82.3,UDP,66
82.4,UDP,535
82.5,UDP,537
82.6,UDP,599
82.7,UDP,809
82.8,UDP,1212
82.9,UDP,45543
83.0,UDP,1307
83.1,UDP,175
83.2,UDP,1188
83.3,UDP,487417
83.4,UDP,831184
83.5,UDP,799299
83.6,UDP,123345
83.7,UDP,42689
83.8,UDP,66736
83.9,UDP,725870
84.0,UDP,704163
84.1,UDP,561288
84.2,UDP,144342
84.3,TCP,54
84.3,UDP,40540
84.4,TCP,54
84.4,UDP,109853
84.5,UDP,671506
84.6,TCP,108
84.6,UDP,717388
84.7,UDP,724115
84.8,UDP,498862
84.9,UDP,771160
85.0,UDP,800749
85.1,UDP,402263
85.2,UDP,53708
85.3,UDP,12012
85.4,UDP,573339
85.5,UDP,742622
85.6,UDP,685376
85.7,UDP,281218
85.8,UDP,1155
85.9,UDP,900
86.0,UDP,247
86.8,UDP,177
86.9,UDP,9911
87.0,TCP,193
87.0,UDP,468
87.1,UDP,343
87.2,UDP,20425
87.3,UDP,66
87.7,UDP,260
87.9,UDP,6064
88.0,UDP,19665
88.1,UDP,644
88.2,UDP,424
88.3,UDP,424
88.7,UDP,175
88.9,UDP,1244
89.0,UDP,622
89.2,UDP,7526
89.3,UDP,313
89.4,UDP,111
89.5,UDP,148
89.6,TCP,252
89.6,UDP,239
89.7,UDP,739
89.8,UDP,598
89.9,UDP,4442
90.0,UDP,1335
90.1,UDP,109
90.2,UDP,66
90.3,UDP,4278
90.4,UDP,443
90.5,UDP,286
90.8,UDP,175
90.9,UDP,1870
91.0,UDP,981
91.3,UDP,109
91.4,UDP,177
91.5,UDP,348
91.6,UDP,174
91.7,UDP,500
91.8,UDP,733
91.9,UDP,3713
92.0,UDP,736
92.1,UDP,288
92.2,UDP,266
92.3,UDP,175
92.5,UDP,286
92.6,UDP,352
92.9,UDP,1618
93.0,UDP,782
93.1,UDP,181
93.4,UDP,259
93.5,UDP,437
93.6,UDP,617
93.7,UDP,250
93.8,UDP,914
93.9,UDP,3356
94.0,UDP,2223
94.1,UDP,310
94.3,UDP,109
94.4,UDP,66
94.6,UDP,177
94.7,UDP,109
94.8,UDP,66
94.9,UDP,1287
95.0,UDP,292
95.1,UDP,247
95.4,TCP,128
95.4,UDP,174
95.5,TCP,2080
95.5,UDP,531
95.6,UDP,174
95.7,UDP,477
95.8,UDP,774
95.9,UDP,3158
96.0,UDP,2140
96.1,UDP,512
96.3,UDP,7797
96.4,UDP,4597
96.5,UDP,271
96.7,UDP,175
96.9,UDP,1491
97.0,UDP,1000
97.2,UDP,111
97.3,UDP,490
97.4,UDP,85
97.5,UDP,533
97.6,UDP,174
97.7,TCP,384
97.7,UDP,465
97.8,TCP,54
97.8,UDP,1070
97.9,UDP,2672
98.0,UDP,1931
98.1,UDP,109
98.2,UDP,66
98.3,UDP,6192
98.4,UDP,793
98.9,UDP,1465
99.0,UDP,825
99.1,UDP,220
99.2,UDP,66
99.4,UDP,111
99.5,UDP,410
99.6,UDP,444
99.8,UDP,430
99.9,UDP,3682
100.0,UDP,774
100.1,UDP,1957
100.5,UDP,175
100.8,UDP,111
101.0,UDP,1389
101.1,UDP,620
101.2,UDP,175
101.4,UDP,115
101.5,UDP,85
101.6,UDP,612
101.7,UDP,930
101.8,UDP,336
101.9,UDP,2982
102.0,UDP,3131
102.2,UDP,195
102.3,UDP,65
102.6,UDP,177
103.0,UDP,2226
103.1,UDP,109
103.2,UDP,241
103.3,UDP,85
103.5,UDP,5464
103.6,UDP,357
103.8,UDP,1249
103.9,UDP,174
104.0,UDP,1750
104.1,UDP,2736
104.2,UDP,66
105.0,UDP,1335
105.1,UDP,291
105.2,UDP,286
105.3,UDP,186
105.5,UDP,7460
105.6,TCP,54
105.6,UDP,947
105.7,TCP,54
105.7,UDP,680
105.8,UDP,584
105.9,UDP,606
106.0,UDP,3100
106.2,UDP,205
106.5,UDP,109
106.6,UDP,66
106.8,UDP,109
106.9,UDP,66
107.0,UDP,807
107.1,UDP,111
107.2,UDP,111
107.3,UDP,934
107.5,UDP,131587
107.6,UDP,681434
107.7,UDP,657217
107.8,UDP,615311
107.9,UDP,679526
108.0,UDP,854285
108.1,UDP,817077
108.2,UDP,141862
108.3,UDP,2473
108.6,UDP,419
108.7,UDP,615
109.0,UDP,174
109.1,UDP,401
109.4,UDP,111
109.5,UDP,66
109.9,UDP,2161
110.0,UDP,4288
110.1,UDP,66
110.3,UDP,441
110.6,UDP,109
110.7,UDP,66
110.8,UDP,111
110.9,UDP,208
111.0,UDP,199
111.3,UDP,85
111.4,UDP,89
111.5,UDP,255
111.6,UDP,7204
111.7,UDP,353
111.8,UDP,966
111.9,UDP,1568
112.0,UDP,2061
112.1,UDP,66
112.3,UDP,109
112.4,UDP,66
112.6,UDP,109
112.7,UDP,135
112.8,UDP,66
113.0,UDP,174
113.5,UDP,255
113.6,UDP,315
113.7,UDP,987
113.8,UDP,1122
