time,type,traffic_flow
64.4,TCP,784614
64.4,UDP,85
64.5,TCP,758389
64.6,TCP,765154
64.7,TCP,773572
64.8,TCP,763530
64.8,UDP,85
64.9,TCP,468805
65.0,TCP,653342
65.1,TCP,994238
65.1,UDP,191
65.2,TCP,754657
65.3,TCP,527648
65.4,TCP,413752
65.5,TCP,1205822
65.6,TCP,941386
65.7,TCP,418386
65.8,TCP,1259199
65.8,UDP,170
65.9,TCP,707846
66.0,TCP,811643
66.1,TCP,789962
66.2,TCP,737894
66.3,TCP,800092
66.4,TCP,702476
66.5,TCP,652936
66.6,TCP,782164
66.7,TCP,652116
66.8,TCP,328320
66.8,UDP,85
66.9,TCP,902080
67.0,TCP,887248
67.1,TCP,1008272
67.2,TCP,439772
67.2,UDP,85
67.3,TCP,1211412
67.4,TCP,761446
67.4,UDP,2077
67.5,TCP,339905
67.6,TCP,119840
67.7,TCP,239976
67.8,TCP,146394
67.9,TCP,129972
68.0,TCP,104110
68.1,TCP,99602
68.2,TCP,149884
68.2,UDP,170
68.3,TCP,135884
68.4,TCP,89222
68.5,TCP,131992
68.6,TCP,98574
68.7,TCP,83086
68.8,TCP,123438
68.9,TCP,97316
69.0,TCP,79910
69.1,TCP,100732
69.2,TCP,103384
69.3,TCP,102754
69.4,TCP,99552
69.5,TCP,102514
69.5,UDP,85
69.6,TCP,95382
69.6,UDP,85
69.7,TCP,107338
69.8,TCP,93772
69.9,TCP,110000
70.0,TCP,99606
70.1,TCP,96998
70.2,TCP,91218
70.3,TCP,99824
70.4,TCP,92348
70.5,TCP,112854
70.6,TCP,97936
70.6,UDP,85
70.7,TCP,102292
70.7,UDP,85
70.8,TCP,98188
70.9,TCP,108624
71.0,TCP,102640
71.1,TCP,95880
71.2,TCP,90342
71.3,TCP,100344
71.4,TCP,104058
71.5,TCP,102538
71.6,TCP,102352
71.7,TCP,105554
71.7,UDP,85
71.8,TCP,93526
71.8,UDP,85
71.9,TCP,103270
72.0,TCP,83906
72.1,TCP,96578
72.2,TCP,112572
72.3,TCP,105428
72.4,TCP,102766
72.5,TCP,87002
72.6,TCP,100104
72.7,TCP,94126
72.8,TCP,114410
72.8,UDP,85
72.9,TCP,91646
72.9,UDP,85
73.0,TCP,99486
73.1,TCP,111358
73.2,TCP,96870
73.3,TCP,95392
73.3,UDP,82
73.4,TCP,88428
73.4,UDP,136
73.5,TCP,91903
73.6,TCP,103347
73.7,TCP,105927
73.8,TCP,98573
73.8,UDP,83
73.9,TCP,97842
73.9,UDP,223
74.0,TCP,102557
74.0,UDP,85
74.1,TCP,101653
74.2,TCP,109227
74.3,TCP,95683
74.3,UDP,123
74.4,TCP,95966
74.5,TCP,108062
74.5,UDP,334
74.6,TCP,90621
74.7,TCP,112453
74.8,TCP,102293
74.9,TCP,86934
75.0,TCP,92665
75.0,UDP,85
75.1,TCP,94992
75.1,UDP,85
75.2,TCP,105982
75.3,TCP,98532
75.4,TCP,101422
75.5,TCP,95666
75.6,TCP,116190
75.7,TCP,95558
75.8,TCP,94596
75.9,TCP,84592
76.0,TCP,106186
76.1,TCP,95612
76.2,TCP,109088
76.3,TCP,94092
76.3,UDP,85
76.4,TCP,95666
76.5,TCP,108992
76.5,UDP,85
76.6,TCP,98694
76.7,TCP,84484
76.8,TCP,102322
76.9,TCP,103206
77.0,TCP,89682
77.1,TCP,108926
77.2,TCP,104462
77.3,TCP,92452
77.4,TCP,102942
77.5,TCP,101566
77.5,UDP,85
77.6,TCP,93378
77.6,UDP,85
77.7,TCP,89416
77.8,TCP,83468
77.9,TCP,107616
78.0,TCP,105928
78.1,TCP,94134
78.2,TCP,107286
78.3,TCP,97024
78.4,TCP,107370
78.5,TCP,92626
78.6,TCP,100160
78.6,UDP,85
78.7,TCP,88900
78.7,UDP,85
78.8,TCP,90486
78.9,TCP,107670
79.0,TCP,88138
79.1,TCP,106144
79.2,TCP,113192
79.3,TCP,101057
79.4,TCP,74836
79.5,TCP,96016
79.6,TCP,120546
79.7,TCP,104073
79.7,UDP,85
79.8,TCP,62434
79.9,TCP,93318
80.0,TCP,124127
80.0,UDP,79
80.1,TCP,102974
80.1,UDP,192
80.2,TCP,108922
80.3,TCP,95025
80.4,TCP,94473
80.5,TCP,90949
80.6,TCP,104817
80.7,TCP,99034
80.8,TCP,105952
80.9,TCP,105970
81.0,TCP,91428
81.1,TCP,93612
81.2,TCP,96282
81.3,TCP,101794
81.4,TCP,105970
81.5,TCP,99932
81.6,TCP,98671
81.7,TCP,97540
81.8,TCP,107436
81.9,TCP,93715
82.0,TCP,78610
82.1,TCP,77786
82.2,TCP,103676
82.3,TCP,113270
82.4,TCP,105796
82.5,TCP,105850
82.6,TCP,98694
82.7,TCP,104330
82.8,TCP,101452
82.9,TCP,104492
83.0,TCP,96690
83.0,UDP,386
83.1,TCP,100306
83.2,TCP,84998
83.3,TCP,92895
83.4,TCP,81039
83.5,TCP,107636
83.6,TCP,104009
83.7,TCP,91860
83.7,UDP,68
83.8,TCP,101710
83.8,UDP,156
83.9,TCP,102329
84.0,TCP,107993
84.1,TCP,98120
84.2,TCP,116754
84.3,TCP,116822
84.4,TCP,113798
84.4,UDP,76
84.5,TCP,133287
84.5,UDP,384
84.6,TCP,90414
84.7,TCP,86452
84.8,TCP,171991
84.8,UDP,69
84.9,TCP,265062
84.9,UDP,298
85.0,TCP,302831
85.0,UDP,270
85.1,TCP,108760
85.2,TCP,60999
85.3,TCP,78137
85.3,UDP,329
85.4,TCP,78841
85.4,UDP,229
85.5,TCP,86837
85.5,UDP,308
85.6,TCP,40281
85.6,UDP,319
85.7,TCP,59600
85.7,UDP,552
85.8,TCP,12929
85.9,TCP,19297
86.0,TCP,7648
86.1,TCP,1795
86.4,TCP,2678
86.5,TCP,10301
86.5,UDP,315
86.6,TCP,5966
86.7,TCP,128
86.7,UDP,231
86.8,TCP,4215
86.9,TCP,1741
87.0,TCP,604
87.0,UDP,211
87.1,TCP,5112
87.2,TCP,1413
87.3,TCP,1417
87.4,TCP,2244
87.4,UDP,233
87.5,TCP,3825
87.5,UDP,1128
87.6,TCP,69167
87.7,TCP,164064
87.8,TCP,255073
87.9,TCP,1262
87.9,UDP,259
88.0,TCP,6048
88.1,TCP,3043
88.1,UDP,152
88.2,TCP,13045
88.2,UDP,615
88.3,TCP,26764
88.4,TCP,132347
88.4,UDP,264
88.5,TCP,295860
88.5,UDP,460
88.6,TCP,33571
88.7,TCP,231
88.8,TCP,154
88.9,TCP,59371
89.0,TCP,35602
89.0,UDP,1337
89.1,TCP,10362
89.2,TCP,16767
89.3,TCP,4032
89.3,UDP,83
91.3,TCP,68071
91.4,TCP,463276
91.5,TCP,95935
91.8,TCP,120
91.9,TCP,120
93.1,UDP,75
93.2,TCP,2771
93.2,UDP,1687
93.3,TCP,54
93.5,TCP,85
94.3,TCP,1311
94.4,TCP,919
94.4,UDP,607
97.1,UDP,244
97.2,TCP,236
97.4,TCP,914
97.5,TCP,1501
97.6,TCP,14887
97.7,TCP,3064
97.8,TCP,360
97.9,TCP,108
98.4,UDP,78
98.6,TCP,4954
98.6,UDP,304
98.7,TCP,38331
98.8,TCP,268060
98.9,TCP,323876
99.0,TCP,340173
99.1,TCP,147983
99.2,TCP,426698
99.3,TCP,515908
99.4,TCP,507320
99.5,TCP,359640
99.6,TCP,462396
99.7,TCP,591816
99.8,TCP,523076
99.9,TCP,525470
100.0,TCP,556281
100.1,TCP,703779
100.2,TCP,427253
100.3,TCP,588280
100.4,TCP,399259
100.5,TCP,614018
100.6,TCP,687855
100.7,TCP,572869
100.8,TCP,640890
100.9,TCP,662099
101.0,TCP,510239
101.1,TCP,707911
101.2,TCP,145877
101.3,TCP,797
101.3,UDP,190
101.4,TCP,4472
101.5,TCP,66
102.2,TCP,270
103.9,TCP,139
104.0,TCP,108
104.2,TCP,108
104.4,TCP,314
104.5,TCP,3158
104.6,TCP,54
104.7,TCP,306742
104.8,TCP,593273
104.9,TCP,597806
105.0,TCP,11142
105.1,TCP,126962
105.2,TCP,556125
105.3,TCP,568361
105.4,TCP,584433
105.5,TCP,382422
105.6,TCP,685628
105.7,TCP,237520
105.8,TCP,305050
105.9,TCP,47125
106.0,TCP,84839
106.1,TCP,708352
106.2,TCP,694746
106.3,TCP,676012
106.4,TCP,604917
106.5,TCP,54
106.6,TCP,404018
106.7,TCP,746334
106.8,TCP,672921
106.9,TCP,734984
107.0,TCP,110934
107.1,TCP,443886
107.2,TCP,618809
107.3,TCP,585706
107.4,TCP,451838
107.5,TCP,333082
107.7,TCP,535713
107.8,TCP,381499
107.9,TCP,254746
108.0,TCP,496532
108.1,TCP,408962
108.2,TCP,170936
108.3,TCP,41865
108.4,TCP,401344
108.5,TCP,448588
108.6,TCP,413036
108.7,TCP,580266
108.8,TCP,55359
108.9,TCP,497237
109.0,TCP,452535
109.1,TCP,614237
109.2,TCP,471440
110.4,TCP,108
110.5,TCP,314
110.6,TCP,3257
110.7,TCP,206331
110.8,TCP,696728
110.9,TCP,642222
111.0,TCP,519973
111.1,TCP,316
111.2,TCP,404156
111.3,TCP,466988
111.4,TCP,519462
111.5,TCP,591161
111.6,TCP,677310
111.7,TCP,381090
111.8,TCP,109742
111.9,TCP,738753
112.0,TCP,293884
112.1,TCP,667318
112.2,TCP,279273
112.3,TCP,621389
112.4,TCP,598
112.5,TCP,429070
112.6,TCP,621280
112.7,TCP,687856
112.8,TCP,436043
112.9,TCP,505457
113.0,TCP,316
113.1,TCP,264443
113.2,TCP,239598
113.3,TCP,517942
113.4,TCP,328518
113.5,TCP,191692
113.6,TCP,303350
113.7,TCP,349778
113.8,TCP,187118
113.9,TCP,40354
114.0,TCP,370878
114.1,TCP,369082
114.2,TCP,307950
114.3,TCP,458480
114.4,TCP,290238
114.5,TCP,331646
114.6,TCP,13747
114.7,TCP,329670
114.8,TCP,510596
114.9,TCP,683662
115.0,TCP,399209
115.2,TCP,508762
115.3,TCP,698381
115.4,TCP,486116
115.5,TCP,423078
116.4,TCP,54
116.6,TCP,1863
116.7,TCP,1652
116.8,TCP,655037
116.9,TCP,698244
117.0,TCP,692192
117.1,TCP,675545
117.2,TCP,584494
117.3,TCP,316
117.4,TCP,522292
117.5,TCP,657866
117.6,TCP,718127
117.7,TCP,661378
117.8,TCP,715242
117.9,TCP,711225
118.0,TCP,673943
118.0,UDP,374
118.1,TCP,694019
118.2,TCP,688971
118.3,TCP,667707
118.4,TCP,697483
118.5,TCP,687630
118.6,TCP,697236
118.7,TCP,678080
118.8,TCP,694389
118.9,TCP,680887
119.0,TCP,703730
119.1,TCP,574823
119.2,TCP,601689
119.3,TCP,4398
119.4,TCP,690865
119.5,TCP,587289
119.6,TCP,765337
119.7,TCP,645057
119.8,TCP,724226
