time,type,traffic_flow
90.8,TCP,102984
90.9,TCP,118890
91.0,TCP,146592
91.1,TCP,119550
91.2,TCP,121872
91.3,TCP,114384
91.4,TCP,170580
91.5,TCP,117432
91.6,TCP,129030
91.7,TCP,129228
91.8,TCP,132606
91.9,TCP,187350
92.0,TCP,145992
92.1,TCP,124920
92.2,TCP,103010
92.3,TCP,109388
92.4,TCP,149640
92.5,TCP,117564
92.6,TCP,115776
92.7,TCP,164484
92.8,TCP,121872
92.9,TCP,124986
93.0,TCP,129096
93.1,TCP,152490
93.2,TCP,161766
93.3,TCP,132078
93.4,TCP,154212
93.5,TCP,136188
93.6,TCP,175936
93.7,TCP,98460
93.8,TCP,114450
93.9,TCP,106962
94.0,TCP,166608
94.1,TCP,114648
94.2,TCP,123330
94.3,TCP,123330
94.4,TCP,143412
94.5,TCP,181122
94.6,TCP,151494
94.7,TCP,198612
94.8,TCP,157524
94.9,TCP,131914
95.0,TCP,84046
95.1,TCP,159266
95.2,TCP,140694
95.3,TCP,144016
95.4,TCP,173172
95.5,TCP,150960
95.6,TCP,158454
95.7,TCP,160968
95.8,TCP,200928
95.9,TCP,197616
96.0,TCP,211662
96.1,TCP,208812
96.2,TCP,221742
96.3,TCP,189270
96.4,TCP,208842
96.5,TCP,237252
96.6,TCP,183438
96.7,TCP,184962
96.8,TCP,171918
96.9,TCP,151070
97.0,TCP,152820
97.1,TCP,192186
97.2,TCP,124408
97.3,TCP,117352
97.4,TCP,112648
97.5,TCP,157220
97.6,TCP,183457
97.7,TCP,192516
97.8,TCP,208356
97.9,TCP,163260
98.0,TCP,150996
98.1,TCP,168786
98.2,TCP,140820
98.3,TCP,156097
98.4,TCP,141222
98.5,TCP,137580
98.6,TCP,123464
98.7,TCP,144166
98.8,TCP,128186
98.9,TCP,133338
99.0,TCP,152490
99.1,TCP,199942
99.2,TCP,159840
99.3,TCP,178134
99.4,TCP,153216
99.5,TCP,171240
99.6,TCP,210527
99.7,TCP,123701
99.8,TCP,123765
99.9,TCP,118024
100.0,TCP,126996
100.1,TCP,122712
100.2,TCP,155550
100.3,TCP,119978
100.4,TCP,140484
100.5,TCP,173094
100.6,TCP,120574
100.7,TCP,167460
100.8,TCP,190314
100.9,TCP,71096
101.0,TCP,126566
101.1,TCP,116172
101.2,TCP,183174
101.3,TCP,132672
101.4,TCP,149838
101.5,TCP,134862
101.6,TCP,155736
101.7,TCP,206502
101.8,TCP,152754
101.9,TCP,139520
102.0,TCP,134046
102.1,TCP,124320
102.2,TCP,178840
102.3,TCP,103670
102.4,TCP,107094
102.5,TCP,168990
102.6,TCP,119088
102.7,TCP,126048
102.8,TCP,139332
102.9,TCP,118622
103.2,TCP,1081
103.7,TCP,8125
103.8,TCP,81132
103.9,TCP,89400
104.0,TCP,138504
104.1,TCP,114180
104.2,TCP,149634
104.3,TCP,130748
104.4,TCP,21692
104.5,TCP,538
105.1,TCP,16627
105.2,TCP,87210
105.3,TCP,138636
105.4,TCP,133332
105.5,TCP,177798
105.6,TCP,151356
105.7,TCP,170706
105.8,TCP,168984
105.9,TCP,161479
106.0,TCP,6265
106.1,TCP,538
106.7,TCP,835
106.8,TCP,45414
106.9,TCP,170778
107.0,TCP,155424
107.1,TCP,160302
107.2,TCP,204048
107.3,TCP,166378
107.4,TCP,128582
107.5,TCP,149820
107.6,TCP,128122
107.7,TCP,208672
107.8,TCP,169452
107.9,TCP,149830
108.0,TCP,117768
108.1,TCP,9651
108.2,TCP,1081
109.3,TCP,46183
109.4,TCP,121800
109.5,TCP,138240
109.6,TCP,184428
109.7,TCP,162690
109.8,TCP,156792
109.9,TCP,208878
110.0,TCP,171702
110.1,TCP,172566
110.2,TCP,207756
110.3,TCP,183900
110.4,TCP,159980
110.5,TCP,159882
110.6,TCP,145924
110.7,TCP,188038
110.8,TCP,207810
110.9,TCP,132410
111.0,TCP,126922
111.1,TCP,118758
111.2,TCP,129096
111.3,TCP,184632
111.4,TCP,136518
111.5,TCP,169920
111.6,TCP,167004
111.7,TCP,145254
111.8,TCP,99342
111.9,TCP,105018
112.0,TCP,156222
112.1,TCP,120348
112.2,TCP,96012
112.4,TCP,543
112.5,TCP,538
114.0,TCP,714
115.9,TCP,45853
116.0,TCP,107820
116.1,TCP,139632
116.2,TCP,62545
116.3,TCP,1081
